,PH,PL
2002-07-30,907.625,899.0
2002-07-31,911.125,905.5
2002-08-01,892.5833333333333,904.0833333333334
2002-08-02,870.6666666666667,875.6666666666666
2002-08-05,844.0416666666667,859.9166666666666
2002-08-06,863.4166666666667,853.4166666666666
2002-08-07,878.1666666666667,868.9166666666666
2002-08-08,905.4166666666667,890.1666666666666
2002-08-09,910.9166666666667,905.4166666666666
2002-08-12,906.4166666666667,903.9166666666666
2002-08-13,894.375,906.0
2002-08-14,916.5,897.0
2002-08-15,933.5833333333333,929.3333333333334
2002-08-16,931.8333333333333,929.8333333333334
2002-08-19,949.8333333333333,938.0833333333334
2002-08-20,945.0,945.75
2002-08-21,953.6666666666667,943.6666666666666
2002-08-22,964.3333333333333,959.3333333333334
2002-08-23,948.625,957.25
2002-08-26,950.375,943.25
2002-08-27,943.5416666666667,950.4166666666666
2002-08-28,924.3333333333333,932.8333333333334
2002-08-29,920.625,918.0
2002-08-30,919.4583333333333,926.0833333333334
2002-09-02,914.125,916.0
2002-09-03,888.375,905.25
2002-09-04,893.9583333333333,889.3333333333334
2002-09-05,887.2083333333333,884.0833333333334
2002-09-06,898.4166666666667,894.4166666666666
2002-09-09,903.9166666666667,898.4166666666666
2002-09-10,914.2916666666667,908.4166666666666
2002-09-11,914.3333333333333,925.0833333333334
2002-09-12,896.8333333333333,903.8333333333334
2002-09-13,894.2083333333333,887.3333333333334
2002-09-16,895.5,889.5
2002-09-17,884.4166666666667,905.9166666666666
2002-09-18,870.125,874.25
2002-09-19,850.3333333333333,861.0833333333334
2002-09-20,851.4583333333333,849.8333333333334
2002-09-23,839.25,840.75
2002-09-24,827.375,832.25
2002-09-25,841.7083333333333,828.0833333333334
2002-09-26,857.0833333333333,849.8333333333334
2002-09-27,835.375,850.75
2002-09-30,819.0416666666667,816.1666666666666
2002-10-01,852.125,830.0
2002-10-02,838.4583333333333,846.5833333333334
2002-10-03,827.7916666666667,836.1666666666666
2002-10-04,812.75,818.0
2002-10-07,795.7916666666667,802.6666666666666
2002-10-08,803.4166666666667,797.1666666666666
2002-10-09,786.8333333333333,797.5833333333334
2002-10-10,802.75,787.0
2002-10-11,837.7083333333333,821.0833333333334
2002-10-14,845.25,839.25
2002-10-15,881.75,860.75
2002-10-16,870.2916666666667,877.9166666666666
2002-10-17,882.875,880.25
2002-10-18,886.375,880.75
2002-10-21,899.875,888.25
2002-10-22,895.7916666666667,893.6666666666666
2002-10-23,899.1666666666667,886.9166666666666
2002-10-24,889.0833333333333,899.8333333333334
2002-10-25,900.0416666666667,888.9166666666666
2002-10-28,898.5416666666667,903.9166666666666
2002-10-29,885.875,884.0
2002-10-30,893.625,890.25
2002-10-31,891.4166666666667,894.1666666666666
2002-11-01,900.5,891.5
2002-11-04,914.9583333333333,922.3333333333334
2002-11-05,917.5833333333333,913.3333333333334
2002-11-06,927.0833333333333,916.0833333333334
2002-11-07,910.7083333333333,919.5833333333334
2002-11-08,899.5416666666667,908.6666666666666
2002-11-11,884.6666666666667,890.4166666666666
2002-11-12,889.875,890.25
2002-11-13,889.3333333333333,885.0833333333334
2002-11-14,904.5,895.5
2002-11-15,911.8333333333333,905.3333333333334
2002-11-18,907.6666666666667,915.6666666666666
2002-11-19,903.3333333333333,904.3333333333334
2002-11-20,919.5833333333333,907.0833333333334
2002-11-21,937.5416666666667,928.6666666666666
2002-11-22,934.9583333333333,938.5833333333334
2002-11-25,934.7916666666667,934.9166666666666
2002-11-26,919.875,930.0
2002-11-27,939.0,927.75
2002-11-28,944.0833333333333,942.8333333333334
2002-11-29,941.2083333333333,941.8333333333334
2002-12-02,942.1666666666667,947.9166666666666
2002-12-03,930.375,935.25
2002-12-04,923.4166666666667,921.6666666666666
2002-12-05,915.9166666666667,923.1666666666666
2002-12-06,915.4583333333333,905.5833333333334
2002-12-09,899.125,913.0
2002-12-10,905.3333333333333,900.3333333333334
2002-12-11,907.4583333333333,908.0833333333334
2002-12-12,907.1666666666667,907.6666666666666
2002-12-13,895.0416666666667,902.6666666666666
2002-12-16,911.4166666666667,899.9166666666666
2002-12-17,909.0416666666667,912.9166666666666
2002-12-18,898.3333333333333,901.5833333333334
2002-12-19,893.75,902.0
2002-12-20,895.6983235677083,894.4633382161459
2002-12-23,901.7083333333333,900.8333333333334
2002-12-24,897.6666666666667,901.1666666666666
2002-12-26,897.0,900.75
2002-12-27,879.9583333333333,889.5833333333334
2002-12-30,881.75,879.5
2002-12-31,882.5,878.0
2003-01-02,908.7083333333333,897.3333333333334
2003-01-03,913.75,910.0
2003-01-06,928.5416666666667,919.6666666666666
2003-01-07,929.0416666666667,929.9166666666666
2003-01-08,916.8333333333333,922.3333333333334
2003-01-09,927.5833333333333,921.0833333333334
2003-01-10,930.6666666666667,928.1666666666666
2003-01-13,932.2916666666667,934.6666666666666
2003-01-14,933.1666666666667,929.9166666666666
2003-01-15,927.0416666666667,930.1666666666666
